Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
3981810242465907713,0.0005970849799560404,2836.47282999,0.11428571428571428,12,105,0.19699995886398702,-27.765963499375964,573.110135249501,116.0
3983074113875692800,18.787880072103714,2424.82951996,0.32558139534883723,14,43,0.360134734922675,0.0,489.06062323247505,125.0
3986814617275053313,0.09221419422892395,16337.46188064,0.7822172200337648,2780,3554,0.32906916130259056,-inf,inf,22.5
3987739404272887297,0.02585796223001916,12464.6063154,0.22826446280991736,1381,6050,0.04964038554680326,-inf,inf,22.5
3988071780777702657,5.412083225189844e-05,3424.4699222,0.3731656184486373,890,2385,0.03708094314628106,-4.865497260168142e+16,9730994520336970.0,89.0
3988187872032603905,0.00015179605854849097,2599.76167062,0.3266513936617029,1711,5238,0.09181519075821135,-inf,inf,22.5
3988205565930333696,1.3635937252236099e-05,3283.93800993,0.38005390835579517,141,371,0.07385881729895286,-7.971875423762382e+20,1.5943750847524762e+20,84.0
3991414786174551297,7.424489488344861e-05,1787.98771569,0.2990353697749196,93,311,0.12179805867418173,-1.6038644251262557e+39,3.2077288502525114e+38,70.0
3993014919980212480,6.373494095896549e-05,3078.66301039,0.4762589928057554,331,695,0.1406341479531728,-1.6417487825197437e+44,3.2834975650394876e+43,65.0
3993222640082269952,5.6299053515754664e-05,1884.46844302,0.4645286686103013,1434,3087,0.0903776714727069,-inf,inf,22.5
3994879592543698688,0.00031665250629007784,3658.7650624,0.552833078101072,361,653,0.11917052775910038,-7.680480938132588e+57,1.5360961876265177e+57,55.0
3995532094997544704,-5.555770100930817e-06,-12346.6822186,0.21401421252685507,1295,6051,-0.06456240214613357,-inf,inf,22.5
3996598927198996481,0.0017452025701430937,3509.04461888,0.368282600526118,980,2661,0.11254123535147607,-6252361561.028365,1250473014.3111105,96.0
3998572645139652353,7.350193416396313e-06,9603.58535988,0.35714285714285715,95,266,0.2622182129629234,-1.2099324743431698e+19,2.4198649486863416e+18,87.0
3998659472131949824,5.612000877712438e-06,1449.32593976,0.4897959183673469,72,147,0.3820502588828451,0.0,290.2395583098502,138.0
3999240873283311617,0.09981064418714747,42574.47367879,0.5232198142414861,2366,4522,0.22726369206672964,-81.58338206,8531.5814710001,102.0
3999845462424248576,0.0003177757461962833,5843.15260681,0.4349005424954792,1443,3318,0.224651704061019,-inf,inf,22.5
4000222729738650369,7.628886701665926e-05,1803.6201332800001,0.5605427974947808,537,958,0.24676788204614447,-1.2250916002858825e+46,2.450183200571765e+45,62.0
4000877324693233921,-0.0007930580130922695,-836.1005588599996,0.44859504132231404,2714,6050,-0.002495642882538123,-inf,inf,22.5
4002413037164645377,0.0024054210183789095,3686.9697606,0.1857638888888889,107,576,0.12558602230470228,-1.9784641933692267e+70,3.956928386738454e+69,50.0
4004410127575640832,0.0009254054781164024,2905.76386668,0.34516765285996054,175,507,0.18874833033164154,-7.2367770160663545e+56,1.447355403213271e+56,57.0
